empresa,giro,dominio,correo,DMARC,MX,SPF,prioridad,estado,fecha,notas
CANACO Ensenada,Cámara empresarial,canacoensenada.com.mx,afiliacion@canacoensenada.com.mx,NO,SI,SI,P1,Enviado,2026-07-06,"Risk 75 — SSL problemas — Enviado desde luis@praetor.lat (Zoho) 11:10 A.M., captura adjunta"
Quintas Papagayo,Hotel/Quintas,quintaspapagayo.com,info@quintaspapagayo.com,NO,SI,NO,P5,Enviado,2026-07-06,"Risk 55 — confirmar correo en FB — Enviado desde luis@praetor.lat (Zoho) 11:13 A.M., captura adjunta"
Estero Beach Hotel,Hotel,esterobeach.com,,PENDIENTE,PENDIENTE,PENDIENTE,P5,Pendiente escaneo,2026-07-06,"Preseleccionado"
Esencia del Valle,Viñedo,esenciadelvalle.com.mx,,PENDIENTE,PENDIENTE,PENDIENTE,P5,Pendiente escaneo,2026-07-06,"Preseleccionado"
Decantos Vinícola,Viñedo,decantosvinicola.com,,PENDIENTE,NO,PENDIENTE,P5,Pendiente escaneo,2026-07-06,"Sin MX — contacto por formulario/Gmail"
Vinos Casa de Piedra,Viñedo,vinoscasadepiedra.com,,PENDIENTE,NO,PENDIENTE,P5,Pendiente escaneo,2026-07-06,"Sin MX — contacto por formulario/Gmail"
CANACINTRA Estado de México,Cámara,canacintraem.org.mx,,NO,SI,PENDIENTE,P1,Pendiente escaneo,2026-07-06,"Sin DMARC — solo formulario de contacto"
COPARMEX,Organización,coparmex.org,,NO,SI,PENDIENTE,P1,Pendiente escaneo,2026-07-06,"Sin DMARC — correo directo a confirmar"
Sánchez Zertuche,Despacho,szasociados.com,,PENDIENTE,PENDIENTE,PENDIENTE,P2,Pendiente escaneo,2026-07-06,"Preseleccionado"
Baja Ferries,Transporte,bajaferries.com.mx,,PENDIENTE,PENDIENTE,PENDIENTE,P3,Pendiente escaneo,2026-07-06,"Preseleccionado"
Baja Inn,Hotel,bajainn.com.mx,,PENDIENTE,PENDIENTE,PENDIENTE,P4,Pendiente escaneo,2026-07-06,"Preseleccionado"
Hotel Coral,Hotel,hotelcoral.com.mx,,PENDIENTE,PENDIENTE,PENDIENTE,P4,Pendiente escaneo,2026-07-06,"Preseleccionado"
Hotel San Nicolás,Hotel,hotelsannicolas.com,,PENDIENTE,PENDIENTE,PENDIENTE,P4,Enviado,2026-07-04,"Auditoría enviada — registro histórico visible en Zoho Sent"
Soporte Sports (Caliente),Organización,soporte.sports@caliente.mx,soporte.sports@caliente.mx,PENDIENTE,PENDIENTE,PENDIENTE,P3,Enviado,2026-07-04,"Observaciones enviadas (Zoho)"
(Placeholder) Notaría,Notaría,despacho-notarial-example.com,,PENDIENTE,PENDIENTE,PENDIENTE,P2,Pendiente escaneo,2026-07-06,"Placeholder — buscar dominio real si desea"
(Placeholder) Clínica,Clínica,clinica-ensenada-example.com,,PENDIENTE,PENDIENTE,PENDIENTE,P2,Pendiente escaneo,2026-07-06,"Placeholder — buscar dominio real si desea"
